From;To;Damerau;JaroWinkler;LCS;QGram;RatcliffObershelp
ISRUSA;CANUSA;0.0;1.0;16;0.0;1.0
ISRUSA;CHNUSA;0.0;1.0;16;0.0;1.0
ISRUSA;USACAN;0.0;1.0;16;0.0;1.0
ISRUSA;USADEU;0.0;1.0;16;0.0;1.0
ISRUSA;USAFRA;0.0;1.0;16;0.0;1.0
ISRUSA;EURGBR;0.0;1.0;16;0.0;1.0
MEXCAN;EURAFR;0.0;1.0;13;0.0;1.0
CANUSA;ISRUSA;0.0;1.0;16;0.0;1.0
CANUSA;CHNUSA;0.0;1.0;16;0.0;1.0
CANUSA;USACAN;0.0;1.0;16;0.0;1.0
CANUSA;USADEU;0.0;1.0;16;0.0;1.0
CANUSA;USAFRA;0.0;1.0;16;0.0;1.0
CANUSA;EURGBR;0.0;1.0;16;0.0;1.0
PSEISR;ISRPSE;0.0;1.0;16;0.0;1.0
ISRPSE;PSEISR;0.0;1.0;16;0.0;1.0
CHNUSA;ISRUSA;0.0;1.0;16;0.0;1.0
CHNUSA;CANUSA;0.0;1.0;16;0.0;1.0
CHNUSA;USACAN;0.0;1.0;16;0.0;1.0
CHNUSA;USADEU;0.0;1.0;16;0.0;1.0
CHNUSA;USAFRA;0.0;1.0;16;0.0;1.0
CHNUSA;EURGBR;0.0;1.0;16;0.0;1.0
DEUUSA;JPNUSA;0.0;1.0;16;0.0;1.0
GBREUR;IRLGBR;0.0;1.0;16;0.0;1.0
GBREUR;USAAFG;0.0;1.0;16;0.0;1.0
GBREUR;USAISR;0.0;1.0;16;0.0;1.0
IRNUSA;TURSYR;0.0;1.0;16;0.0;1.0
IRNUSA;USAIRN;0.0;1.0;16;0.0;1.0
GBRIRL;USAGBR;0.0;1.0;16;0.0;1.0
GBRIRL;USAEUR;0.0;1.0;16;0.0;1.0
JPNUSA;DEUUSA;0.0;1.0;16;0.0;1.0
IRLGBR;GBREUR;0.0;1.0;16;0.0;1.0
IRLGBR;USAAFG;0.0;1.0;16;0.0;1.0
IRLGBR;USAISR;0.0;1.0;16;0.0;1.0
TURSYR;IRNUSA;0.0;1.0;16;0.0;1.0
TURSYR;USAIRN;0.0;1.0;16;0.0;1.0
USAAFG;GBREUR;0.0;1.0;16;0.0;1.0
USAAFG;IRLGBR;0.0;1.0;16;0.0;1.0
USAAFG;USAISR;0.0;1.0;16;0.0;1.0
USACAN;ISRUSA;0.0;1.0;16;0.0;1.0
USACAN;CANUSA;0.0;1.0;16;0.0;1.0
